ID,Text
1,إزّيك عامل إيه في صحتك؟  
2,الحمد لله، بس الأيام دي شويّة تعب.  
3,أخبار صحّة العيلة عندك إيه؟  
4,كله تمام، العيال كبروا وبقوا في المدارس.  
5,إيه آخر أخبار صُحابك؟  
6,صاحبي جاله شغل جديد وكان فرحان بيه.  
7,سمعت إنك حصلت على ترقية! مبروك يا رجّالة.  
8,ابني بدأ يتعلّم السواقة وعمل حادِثة صغيرة.  
9,صحتي الحمد لله، بس أحاول أكل أكل صحي أكتر.  
10,ماما تعبانة شويّة وهنروح للدكتور بكره.  
11,إنتي لِسه بتشوفي صاحبتك القديمة؟  
12,رحنا زيارة لعمّي في البلد الأسبوع اللي فات.  
13,كان يوم طويل في الشغل، بس اتعلمت حاجات مُفيدة.  
14,خطيبتي بدأت كورس جديد في الطبخ.  
15,أنا مقدرش أنام كويس الأيام دي.  
16,كان عندي ميعاد مع دكتور الأسنان امبارح.  
17,أستاذنا كان مُميز وشرح لنا بشكل مُبسط.  
18,لِسه بنتفرّج على المسلسل الجديد؟  
19,أكتر ناس تهمّني في الحياة هم امي وأبويا.  
20,الولاد بيلعبوا في الشارع لحد متأخر.  
21,سمعت إنك سافرت آخر الأسبوع اللي فات؟  
22,أخويا جاب درجات عالية في الامتحانات.  
23,صحابي جابوا لي هدية عيد ميلاد جميلة.  
24,كلامك ليّه واقِع خاص، بتريحني دايمًا.  
25,امي جابت لي أكلة مفضّلة عندي النهارده.  
26,إنت عارف محل حلو نخرج فيه؟  
27,الحرّ صعب أوي اليومين دول.  
28,كنت بفكر نروح السينما النهارده.  
29,جايلك النهارده ناخد قهوة مع بعض.  
30,البيت كان فاضي وهدوءه كان لطيف.  
31,إيه القهوة عاجباك أكتر؟  
32,بالليل بنتجمّع كده ونحكي حواديت زمان.  
33,الأيام بقت تجري بسرعة أووِي!  
34,سمعت إيه عن الخطوبة بتاعته؟  
35,يحتاج يساعد أخوه في شغله الجديد.  
36,أخبار الحالة شغلك إيه الفترة دي؟  
37,نوع السكن اللي فضّلته كان عجبني يوم ما شفته.  
38,كلامه دايمًا بيدّيني طاقة إيجابية.  
39,أنا بفكر أبدأ رياضة جديدة.  
40,صحتي اتحسنت لما بدأت أشارك النشاطات.  
